timestamp,cpu_usage_predicted,gpu_usage_predicted,memory_usage_predicted,recommended_action,original_cost_per_hour,optimized_cost_per_hour
2023-01-08T00:00:00,46.1,37.5,56.2,MAINTAIN,0.6,0.6
2023-01-08T01:00:00,39.2,33.8,51.5,SCALE_DOWN,0.6,0.45
2023-01-08T02:00:00,34.5,31.2,49.1,SCALE_DOWN,0.6,0.45
2023-01-08T03:00:00,33.1,28.8,48.8,SCALE_DOWN,0.6,0.45
2023-01-08T04:00:00,36.2,31.5,51.0,MAINTAIN,0.6,0.6
2023-01-08T05:00:00,43.0,36.1,57.2,MAINTAIN,0.6,0.6
2023-01-08T06:00:00,56.5,47.8,69.5,MAINTAIN,0.6,0.6
2023-01-08T07:00:00,69.1,62.0,80.8,MAINTAIN,0.6,0.6
2023-01-08T08:00:00,76.0,70.1,87.9,SCALE_UP,0.6,0.9
2023-01-08T09:00:00,78.5,73.0,90.5,SCALE_UP,0.6,0.9
2023-01-08T10:00:00,79.8,74.5,93.1,SCALE_UP,0.6,0.9
2023-01-08T11:00:00,78.2,72.8,91.5,MAINTAIN,0.6,0.6
2023-01-08T12:00:00,75.9,70.9,89.0,MAINTAIN,0.6,0.6
2023-01-08T13:00:00,74.5,69.2,87.5,MAINTAIN,0.6,0.6
2023-01-08T14:00:00,74.1,68.9,87.0,MAINTAIN,0.6,0.6
2023-01-08T15:00:00,76.8,71.5,89.8,SCALE_UP,0.6,0.9
2023-01-08T16:00:00,79.5,74.2,92.8,SCALE_UP,0.6,0.9
2023-01-08T17:00:00,81.9,77.0,95.0,SCALE_UP,0.6,0.9
2023-01-08T18:00:00,80.1,75.2,93.2,MAINTAIN,0.6,0.6
2023-01-08T19:00:00,75.8,70.5,88.9,MAINTAIN,0.6,0.6
2023-01-08T20:00:00,68.5,61.8,80.9,MAINTAIN,0.6,0.6
2023-01-08T21:00:00,60.9,54.1,73.5,SCALE_DOWN,0.6,0.45
2023-01-08T22:00:00,54.8,48.2,68.0,SCALE_DOWN,0.6,0.45
2023-01-08T23:00:00,49.5,43.0,62.1,SCALE_DOWN,0.6,0.45
